"","lemma_morphit","form_1ps_ind","formfreq_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","fonroot_noinc_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","formfreq_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","formfreq_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","formfreq_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf"
"59","convenire","convengo",633,"konvengo","konveng","konveng","ng","ire","konven","-","conviene",29486,"konviene","konvien","-","conveniamo",184,"konveniamo","konven","-","convenga",1797,"konvenga","konveng","ng",1,0
"60","convertire","converto",94,"konverto","konvert","konvert","-","ire","konvert","-","converte",2752,"konverte","konvert","-","convertiamo",137,"konvertiamo","konvert","-","converta",455,"konverta","konvert","-",0,1
"68","coprire","copro",446,"kopro","kopr","kopr","-","ire","kopr","-","copre",14641,"kopre","kopr","-","copriamo",233,"kopriamo","kopr","-","copra",1739,"kopra","kopr","-",0,1
"69","costituire","costituisco",91,"kostituisko","kostituisk","kostitu","k","ire","kostitu","-","costituisce",120199,"kostituiSSe","kostituiSS","-","costituiamo",168,"kostituiamo","kostitu","-","costituisca",13382,"kostituiska","kostituisk","k",1,0
"70","costruire","costruisco",591,"kostruisko","kostruisk","kostru","k","ire","kostru","-","costruisce",14706,"kostruiSSe","kostruiSS","-","costruiamo",1758,"kostruiamo","kostru","-","costruisca",1035,"kostruiska","kostruisk","k",1,0
"71","cucire","cucio",79,"kutSo","kutS","kutS","tS","ire","kutS","tS","cuce",467,"kutSe","kutS","tS","cuciamo",13,"kutSamo","kutS","tS","cucia",14,"kutSa","kutS","tS",0,1
"72","custodire","custodisco",159,"kustodisko","kustodisk","kustod","k","ire","kustod","-","custodisce",3346,"kustodiSSe","kustodiSS","-","custodiamo",133,"kustodiamo","kustod","-","custodisca",308,"kustodiska","kustodisk","k",1,0
"73","definire","definisco",1614,"definisko","definisk","defin","k","ire","defin","-","definisce",54981,"definiSSe","definiSS","-","definiamo",2226,"definiamo","defin","-","definisca",3171,"definiska","definisk","k",1,0
"81","deglutire","deglutisco",23,"deglutisko","deglutisk","deglut","k","ire","deglut","-","deglutisce",142,"deglutiSSe","deglutiSS","-","deglutiamo",5,"deglutiamo","deglut","-","deglutisca",5,"deglutiska","deglutisk","k",1,0
"82","demolire","demolisco",19,"demolisko","demolisk","demol","k","ire","demol","-","demolisce",620,"demoliSSe","demoliSS","-","demoliamo",21,"demoliamo","demol","-","demolisca",32,"demoliska","demolisk","k",1,0
"83","differire","differisco",21,"differisko","differisk","differ","k","ire","differ","-","differisce",3365,"differiSSe","differiSS","-","differiamo",17,"differiamo","differ","-","differisca",307,"differiska","differisk","k",1,0
"84","digerire","digerisco",227,"didGerisko","didGerisk","didGer","k","ire","didGer","-","digerisce",466,"didGeriSSe","didGeriSS","-","digeriamo",30,"didGeriamo","didGer","-","digerisca",17,"didGeriska","didGerisk","k",1,0
"85","diluire","diluisco",12,"diluisko","diluisk","dilu","k","ire","dilu","-","diluisce",300,"diluiSSe","diluiSS","-","diluiamo",9,"diluiamo","dilu","-","diluisca",34,"diluiska","diluisk","k",1,0
"86","dimagrire","dimagrisco",41,"dimagrisko","dimagrisk","dimagr","k","ire","dimagr","-","dimagrisce",156,"dimagriSSe","dimagriSS","-","dimagriamo",4,"dimagriamo","dimagr","-","dimagrisca",16,"dimagriska","dimagrisk","k",1,0
"87","diminuire","diminuisco",81,"diminuisko","diminuisk","diminu","k","ire","diminu","-","diminuisce",9018,"diminuiSSe","diminuiSS","-","diminuiamo",70,"diminuiamo","diminu","-","diminuisca",770,"diminuiska","diminuisk","k",1,0
"88","dire","dico",109267,"diko","dik","dik","k","ire","d","-","dice",387000,"ditSe","ditS","tS","diciamo",44525,"ditSamo","d","-","dica",21598,"dika","dik","k",1,0
"96","discoprire","discopro",5,"diskopro","diskopr","diskopr","-","ire","diskopr","-","discopre",46,"diskopre","diskopr","-","discopriamo",7,"diskopriamo","diskopr","-","discopra",5,"diskopra","diskopr","-",0,1
"97","disdire","disdico",124,"disdiko","disdik","disdik","k","ire","disd","-","disdice",150,"disditSe","disditS","tS","disdiciamo",9,"disditSamo","disd","-","disdica",28,"disdika","disdik","k",1,0
"98","disobbedire","disobbedisco",14,"disobbedisko","disobbedisk","disobbed","k","ire","disobbed","-","disobbedisce",145,"disobbediSSe","disobbediSS","-","disobbediamo",24,"disobbediamo","disobbed","-","disobbedisca",15,"disobbediska","disobbedisk","k",1,0
"99","dissentire","dissento",620,"dissento","dissent","dissent","-","ire","dissent","-","dissente",754,"dissente","dissent","-","dissentiamo",72,"dissentiamo","dissent","-","dissenta",78,"dissenta","dissent","-",0,1
"100","distribuire","distribuisco",173,"distribuisko","distribuisk","distribu","k","ire","distribu","-","distribuisce",5729,"distribuiSSe","distribuiSS","-","distribuiamo",247,"distribuiamo","distribu","-","distribuisca",353,"distribuiska","distribuisk","k",1,0
"101","disubbidire","disubbidisco",6,"disubbidisko","disubbidisk","disubbid","k","ire","disubbid","-","disubbidisce",53,"disubbidiSSe","disubbidiSS","-","disubbidiamo",6,"disubbidiamo","disubbid","-","disubbidisca",4,"disubbidiska","disubbidisk","k",1,0
