"","lemma_morphit","form_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf","fonroot_noinc_1ps_ind"
"15","abbiosciare","abbioscio","abbioSSo","abbioSS","-","are","abbioSS","-","abbioscia","abbioSSa","abbioSS","-","abbiosciamo","abbioSSamo","abbioSS","-","abbiosci","abbioSSi","abbioSS","-",0,1,"-"
"16","abbisognare","abbisogno","abbisoNNo","abbisoNN","NN","are","abbisoNN","NN","abbisogna","abbisoNNa","abbisoNN","NN","abbisogniamo","abbisoNNiamo","abbisoNN","NN","abbisogni","abbisoNNi","abbisoNN","NN",0,1,"-"
"17","abboccare","abbocco","abbokko","abbokk","k","are","abbokk","k","abbocca","abbokka","abbokk","k","abbocchiamo","abbokkiamo","abbokk","k","abbocchi","abbokki","abbokk","k",0,1,"-"
"18","abboffare","abboffo","abboffo","abboff","-","are","abboff","-","abboffa","abboffa","abboff","-","abboffiamo","abboffiamo","abboff","-","abboffi","abboffi","abboff","-",0,1,"-"
"19","abbonacciare","abbonaccio","abbonattSo","abbonattS","tS","are","abbonattS","tS","abbonaccia","abbonattSa","abbonattS","tS","abbonacciamo","abbonattSamo","abbonattS","tS","abbonacci","abbonattSi","abbonattS","tS",0,1,"-"
"20","abbonare","abbono","abbono","abbon","-","are","abbon","-","abbona","abbona","abbon","-","abboniamo","abboniamo","abbon","-","abboni","abboni","abbon","-",0,1,"-"
"21","abbondare","abbondo","abbondo","abbond","-","are","abbond","-","abbonda","abbonda","abbond","-","abbondiamo","abbondiamo","abbond","-","abbondi","abbondi","abbond","-",0,1,"-"
"22","abbordare","abbordo","abbordo","abbord","-","are","abbord","-","abborda","abborda","abbord","-","abbordiamo","abbordiamo","abbord","-","abbordi","abbordi","abbord","-",0,1,"-"
"23","abborracciare","abborraccio","abborrattSo","abborrattS","tS","are","abborrattS","tS","abborraccia","abborrattSa","abborrattS","tS","abborracciamo","abborrattSamo","abborrattS","tS","abborracci","abborrattSi","abborrattS","tS",0,1,"-"
"24","abbottare","abbotto","abbotto","abbott","-","are","abbott","-","abbotta","abbotta","abbott","-","abbottiamo","abbottiamo","abbott","-","abbotti","abbotti","abbott","-",0,1,"-"
