"","lemma_morphit","form_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","fonroot_noinc_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf"
"258","incenerire","incenerisco","intSenerisko","intSenerisk","intSener","k","ire","intSener","-","incenerisce","intSeneriSSe","intSeneriSS","-","inceneriamo","intSeneriamo","intSener","-","incenerisca","intSeneriska","intSenerisk","k",1,0
"259","incivilire","incivilisco","intSivilisko","intSivilisk","intSivil","k","ire","intSivil","-","incivilisce","intSiviliSSe","intSiviliSS","-","inciviliamo","intSiviliamo","intSivil","-","incivilisca","intSiviliska","intSivilisk","k",1,0
"260","incollerire","incollerisco","inkollerisko","inkollerisk","inkoller","k","ire","inkoller","-","incollerisce","inkolleriSSe","inkolleriSS","-","incolleriamo","inkolleriamo","inkoller","-","incollerisca","inkolleriska","inkollerisk","k",1,0
"261","incretinire","incretino","inkretino","inkretin","inkretin","-","ire","inkretin","-","incretine","inkretine","inkretin","-","incretiniamo","inkretiniamo","inkretin","-","incretina","inkretina","inkretin","-",0,1
"262","incrudelire","incrudelisco","inkrudelisko","inkrudelisk","inkrudel","k","ire","inkrudel","-","incrudelisce","inkrudeliSSe","inkrudeliSS","-","incrudeliamo","inkrudeliamo","inkrudel","-","incrudelisca","inkrudeliska","inkrudelisk","k",1,0
"263","incrudire","incrudisco","inkrudisko","inkrudisk","inkrud","k","ire","inkrud","-","incrudisce","inkrudiSSe","inkrudiSS","-","incrudiamo","inkrudiamo","inkrud","-","incrudisca","inkrudiska","inkrudisk","k",1,0
"264","incupire","incupisco","inkupisko","inkupisk","inkup","k","ire","inkup","-","incupisce","inkupiSSe","inkupiSS","-","incupiamo","inkupiamo","inkup","-","incupisca","inkupiska","inkupisk","k",1,0
"265","incuriosire","incuriosisco","inkuriosisko","inkuriosisk","inkurios","k","ire","inkurios","-","incuriosisce","inkuriosiSSe","inkuriosiSS","-","incuriosiamo","inkuriosiamo","inkurios","-","incuriosisca","inkuriosiska","inkuriosisk","k",1,0
"266","indebolire","indebolisco","indebolisko","indebolisk","indebol","k","ire","indebol","-","indebolisce","indeboliSSe","indeboliSS","-","indeboliamo","indeboliamo","indebol","-","indebolisca","indeboliska","indebolisk","k",1,0
"267","indire","indico","indiko","indik","indik","k","ire","ind","-","indice","inditSe","inditS","tS","indiciamo","inditSamo","ind","-","indica","indika","indik","k",1,0
"268","indispettire","indispettisco","indispettisko","indispettisk","indispett","k","ire","indispett","-","indispettisce","indispettiSSe","indispettiSS","-","indispettiamo","indispettiamo","indispett","-","indispettisca","indispettiska","indispettisk","k",1,0
"269","indolenzire","indolenzisco","indolenzisko","indolenzisk","indolenz","k","ire","indolenz","-","indolenzisce","indolenziSSe","indolenziSS","-","indolenziamo","indolenziamo","indolenz","-","indolenzisca","indolenziska","indolenzisk","k",1,0
"270","indurire","indurisco","indurisko","indurisk","indur","k","ire","indur","-","indurisce","induriSSe","induriSS","-","induriamo","induriamo","indur","-","indurisca","induriska","indurisk","k",1,0
"271","inebetire","inebetisco","inebetisko","inebetisk","inebet","k","ire","inebet","-","inebetisce","inebetiSSe","inebetiSS","-","inebetiamo","inebetiamo","inebet","-","inebetisca","inebetiska","inebetisk","k",1,0
"272","infarcire","infarcisco","infartSisko","infartSisk","infartS","k","ire","infartS","tS","infarcisce","infartSiSSe","infartSiSS","-","infarciamo","infartSamo","infartS","tS","infarcisca","infartSiska","infartSisk","k",1,0
"273","infastidire","infastidisco","infastidisko","infastidisk","infastid","k","ire","infastid","-","infastidisce","infastidiSSe","infastidiSS","-","infastidiamo","infastidiamo","infastid","-","infastidisca","infastidiska","infastidisk","k",1,0
"274","infeltrire","infeltrisco","infeltrisko","infeltrisk","infeltr","k","ire","infeltr","-","infeltrisce","infeltriSSe","infeltriSS","-","infeltriamo","infeltriamo","infeltr","-","infeltrisca","infeltriska","infeltrisk","k",1,0
"275","inferire","inferisco","inferisko","inferisk","infer","k","ire","infer","-","inferisce","inferiSSe","inferiSS","-","inferiamo","inferiamo","infer","-","inferisca","inferiska","inferisk","k",1,0
"276","inferocire","inferoco","inferoko","inferok","inferok","k","ire","inferotS","tS","inferoce","inferotSe","inferotS","tS","inferociamo","inferotSamo","inferotS","tS","inferoca","inferoka","inferok","k",1,0
"277","infiacchire","infiacchisco","infiakkisko","infiakkisk","infiakk","k","ire","infiakk","k","infiacchisce","infiakkiSSe","infiakkiSS","-","infiacchiamo","infiakkiamo","infiakk","k","infiacchisca","infiakkiska","infiakkisk","k",1,0
"278","infierire","infierisco","infierisko","infierisk","infier","k","ire","infier","-","infierisce","infieriSSe","infieriSS","-","infieriamo","infieriamo","infier","-","infierisca","infieriska","infierisk","k",1,0
"279","infittire","infittisco","infittisko","infittisk","infitt","k","ire","infitt","-","infittisce","infittiSSe","infittiSS","-","infittiamo","infittiamo","infitt","-","infittisca","infittiska","infittisk","k",1,0
"280","influire","influisco","influisko","influisk","influ","k","ire","influ","-","influisce","influiSSe","influiSS","-","influiamo","influiamo","influ","-","influisca","influiska","influisk","k",1,0
"281","infoltire","infoltisco","infoltisko","infoltisk","infolt","k","ire","infolt","-","infoltisce","infoltiSSe","infoltiSS","-","infoltiamo","infoltiamo","infolt","-","infoltisca","infoltiska","infoltisk","k",1,0
"282","infreddolire","infreddolisco","infreddolisko","infreddolisk","infreddol","k","ire","infreddol","-","infreddolisce","infreddoliSSe","infreddoliSS","-","infreddoliamo","infreddoliamo","infreddol","-","infreddolisca","infreddoliska","infreddolisk","k",1,0
"283","ingagliardire","ingagliardisco","ingaLLardisko","ingaLLardisk","ingaLLard","k","ire","ingaLLard","-","ingagliardisce","ingaLLardiSSe","ingaLLardiSS","-","ingagliardiamo","ingaLLardiamo","ingaLLard","-","ingagliardisca","ingaLLardiska","ingaLLardisk","k",1,0
"284","ingelosire","ingelosisco","indGelosisko","indGelosisk","indGelos","k","ire","indGelos","-","ingelosisce","indGelosiSSe","indGelosiSS","-","ingelosiamo","indGelosiamo","indGelos","-","ingelosisca","indGelosiska","indGelosisk","k",1,0
"285","ingentilire","ingentilisco","indGentilisko","indGentilisk","indGentil","k","ire","indGentil","-","ingentilisce","indGentiliSSe","indGentiliSS","-","ingentiliamo","indGentiliamo","indGentil","-","ingentilisca","indGentiliska","indGentilisk","k",1,0
"286","ingerire","ingerisco","indGerisko","indGerisk","indGer","k","ire","indGer","-","ingerisce","indGeriSSe","indGeriSS","-","ingeriamo","indGeriamo","indGer","-","ingerisca","indGeriska","indGerisk","k",1,0
"287","inghiottire","inghiottisco","ingiottisko","ingiottisk","ingiott","k","ire","ingiott","-","inghiottisce","ingiottiSSe","ingiottiSS","-","inghiottiamo","ingiottiamo","ingiott","-","inghiottisca","ingiottiska","ingiottisk","k",1,0
"288","ingiallire","ingiallisco","indGallisko","indGallisk","indGall","k","ire","indGall","-","ingiallisce","indGalliSSe","indGalliSS","-","ingialliamo","indGalliamo","indGall","-","ingiallisca","indGalliska","indGallisk","k",1,0
"289","ingigantire","ingigantisco","indGigantisko","indGigantisk","indGigant","k","ire","indGigant","-","ingigantisce","indGigantiSSe","indGigantiSS","-","ingigantiamo","indGigantiamo","indGigant","-","ingigantisca","indGigantiska","indGigantisk","k",1,0
"290","ingobbire","ingobbisco","ingobbisko","ingobbisk","ingobb","k","ire","ingobb","-","ingobbisce","ingobbiSSe","ingobbiSS","-","ingobbiamo","ingobbiamo","ingobb","-","ingobbisca","ingobbiska","ingobbisk","k",1,0
"291","ingoffire","ingoffisco","ingoffisko","ingoffisk","ingoff","k","ire","ingoff","-","ingoffisce","ingoffiSSe","ingoffiSS","-","ingoffiamo","ingoffiamo","ingoff","-","ingoffisca","ingoffiska","ingoffisk","k",1,0
"292","ingolosire","ingolosisco","ingolosisko","ingolosisk","ingolos","k","ire","ingolos","-","ingolosisce","ingolosiSSe","ingolosiSS","-","ingolosiamo","ingolosiamo","ingolos","-","ingolosisca","ingolosiska","ingolosisk","k",1,0
"293","ingrandire","ingrandisco","ingrandisko","ingrandisk","ingrand","k","ire","ingrand","-","ingrandisce","ingrandiSSe","ingrandiSS","-","ingrandiamo","ingrandiamo","ingrand","-","ingrandisca","ingrandiska","ingrandisk","k",1,0
"294","inibire","inibisco","inibisko","inibisk","inib","k","ire","inib","-","inibisce","inibiSSe","inibiSS","-","inibiamo","inibiamo","inib","-","inibisca","inibiska","inibisk","k",1,0
"295","innervosire","innervosisco","innervosisko","innervosisk","innervos","k","ire","innervos","-","innervosisce","innervosiSSe","innervosiSS","-","innervosiamo","innervosiamo","innervos","-","innervosisca","innervosiska","innervosisk","k",1,0
"296","inorgoglire","inorgoglisco","inorgoLLsko","inorgoLLsk","inorgoLLsk","k","ire","inorgoL","-","inorgoglisce","inorgoLLSSe","inorgoLLSS","-","inorgogliamo","inorgoLLamo","inorgoL","-","inorgoglisca","inorgoLLska","inorgoLLsk","k",1,0
"297","inorridire","inorridisco","inorridisko","inorridisk","inorrid","k","ire","inorrid","-","inorridisce","inorridiSSe","inorridiSS","-","inorridiamo","inorridiamo","inorrid","-","inorridisca","inorridiska","inorridisk","k",1,0
"298","inquisire","inquisisco","inquisisko","inquisisk","inquis","k","ire","inquis","-","inquisisce","inquisiSSe","inquisiSS","-","inquisiamo","inquisiamo","inquis","-","inquisisca","inquisiska","inquisisk","k",1,0
"299","insanire","insano","insano","insan","insan","-","ire","insan","-","insane","insane","insan","-","insaniamo","insaniamo","insan","-","insana","insana","insan","-",0,1
"300","insaporire","insaporisco","insaporisko","insaporisk","insapor","k","ire","insapor","-","insaporisce","insaporiSSe","insaporiSS","-","insaporiamo","insaporiamo","insapor","-","insaporisca","insaporiska","insaporisk","k",1,0
"301","insecchire","insecchisco","insekkisko","insekkisk","insekk","k","ire","insekk","k","insecchisce","insekkiSSe","insekkiSS","-","insecchiamo","insekkiamo","insekk","k","insecchisca","insekkiska","insekkisk","k",1,0
"302","inseguire","inseguo","inseguo","insegu","insegu","-","ire","insegu","-","insegue","insegue","insegu","-","inseguiamo","inseguiamo","insegu","-","insegua","insegua","insegu","-",0,1
"303","inselvatichire","inselvatichisco","inselvatikisko","inselvatikisk","inselvatik","k","ire","inselvatik","k","inselvatichisce","inselvatikiSSe","inselvatikiSS","-","inselvatichiamo","inselvatikiamo","inselvatik","k","inselvatichisca","inselvatikiska","inselvatikisk","k",1,0
"304","inserire","inserisco","inserisko","inserisk","inser","k","ire","inser","-","inserisce","inseriSSe","inseriSS","-","inseriamo","inseriamo","inser","-","inserisca","inseriska","inserisk","k",1,0
"305","insignire","insignisco","insiNNisko","insiNNisk","insiNN","k","ire","insiNN","NN","insignisce","insiNNiSSe","insiNNiSS","-","insigniamo","insiNNiamo","insiNN","NN","insignisca","insiNNiska","insiNNisk","k",1,0
"306","insolentire","insolentisco","insolentisko","insolentisk","insolent","k","ire","insolent","-","insolentisce","insolentiSSe","insolentiSS","-","insolentiamo","insolentiamo","insolent","-","insolentisca","insolentiska","insolentisk","k",1,0
"307","insospettire","insospettisco","insospettisko","insospettisk","insospett","k","ire","insospett","-","insospettisce","insospettiSSe","insospettiSS","-","insospettiamo","insospettiamo","insospett","-","insospettisca","insospettiska","insospettisk","k",1,0
"308","insuperbire","insuperbisco","insuperbisko","insuperbisk","insuperb","k","ire","insuperb","-","insuperbisce","insuperbiSSe","insuperbiSS","-","insuperbiamo","insuperbiamo","insuperb","-","insuperbisca","insuperbiska","insuperbisk","k",1,0
"309","intenerire","intenerisco","intenerisko","intenerisk","intener","k","ire","intener","-","intenerisce","inteneriSSe","inteneriSS","-","inteneriamo","inteneriamo","intener","-","intenerisca","inteneriska","intenerisk","k",1,0
"310","interagire","interagisco","interadGisko","interadGisk","interadG","k","ire","interadG","dG","interagisce","interadGiSSe","interadGiSS","-","interagiamo","interadGamo","interadG","dG","interagisca","interadGiska","interadGisk","k",1,0
"311","interdire","interdico","interdiko","interdik","interdik","k","ire","interd","-","interdice","interditSe","interditS","tS","interdiciamo","interditSamo","interd","-","interdica","interdika","interdik","k",1,0
"312","interferire","interferisco","interferisko","interferisk","interfer","k","ire","interfer","-","interferisce","interferiSSe","interferiSS","-","interferiamo","interferiamo","interfer","-","interferisca","interferiska","interferisk","k",1,0
"313","interloquire","interloquisco","interloquisko","interloquisk","interloqu","k","ire","interloqu","-","interloquisce","interloquiSSe","interloquiSS","-","interloquiamo","interloquiamo","interloqu","-","interloquisca","interloquiska","interloquisk","k",1,0
"314","intervenire","intervengo","intervengo","interveng","interveng","ng","ire","interven","-","interviene","interviene","intervien","-","interveniamo","interveniamo","interven","-","intervenga","intervenga","interveng","ng",1,0
"315","intestardire","intestardisco","intestardisko","intestardisk","intestard","k","ire","intestard","-","intestardisce","intestardiSSe","intestardiSS","-","intestardiamo","intestardiamo","intestard","-","intestardisca","intestardiska","intestardisk","k",1,0
"316","intiepidire","intiepidisco","intiepidisko","intiepidisk","intiepid","k","ire","intiepid","-","intiepidisce","intiepidiSSe","intiepidiSS","-","intiepidiamo","intiepidiamo","intiepid","-","intiepidisca","intiepidiska","intiepidisk","k",1,0
"317","intimidire","intimidisco","intimidisko","intimidisk","intimid","k","ire","intimid","-","intimidisce","intimidiSSe","intimidiSS","-","intimidiamo","intimidiamo","intimid","-","intimidisca","intimidiska","intimidisk","k",1,0
"318","intimorire","intimorisco","intimorisko","intimorisk","intimor","k","ire","intimor","-","intimorisce","intimoriSSe","intimoriSS","-","intimoriamo","intimoriamo","intimor","-","intimorisca","intimoriska","intimorisk","k",1,0
"319","intontire","intontisco","intontisko","intontisk","intont","k","ire","intont","-","intontisce","intontiSSe","intontiSS","-","intontiamo","intontiamo","intont","-","intontisca","intontiska","intontisk","k",1,0
"320","intorpidire","intorpidisco","intorpidisko","intorpidisk","intorpid","k","ire","intorpid","-","intorpidisce","intorpidiSSe","intorpidiSS","-","intorpidiamo","intorpidiamo","intorpid","-","intorpidisca","intorpidiska","intorpidisk","k",1,0
"321","intristire","intristisco","intristisko","intristisk","intrist","k","ire","intrist","-","intristisce","intristiSSe","intristiSS","-","intristiamo","intristiamo","intrist","-","intristisca","intristiska","intristisk","k",1,0
"322","intuire","intuisco","intuisko","intuisk","intu","k","ire","intu","-","intuisce","intuiSSe","intuiSS","-","intuiamo","intuiamo","intu","-","intuisca","intuiska","intuisk","k",1,0
"323","inturgidire","inturgidisco","inturdGidisko","inturdGidisk","inturdGid","k","ire","inturdGid","-","inturgidisce","inturdGidiSSe","inturdGidiSS","-","inturgidiamo","inturdGidiamo","inturdGid","-","inturgidisca","inturdGidiska","inturdGidisk","k",1,0
"324","inumidire","inumidisco","inumidisko","inumidisk","inumid","k","ire","inumid","-","inumidisce","inumidiSSe","inumidiSS","-","inumidiamo","inumidiamo","inumid","-","inumidisca","inumidiska","inumidisk","k",1,0
"325","invaghire","invaghisco","invagisko","invagisk","invag","k","ire","invag","g","invaghisce","invagiSSe","invagiSS","-","invaghiamo","invagiamo","invag","g","invaghisca","invagiska","invagisk","k",1,0
"326","inveire","inveisco","inveisko","inveisk","inve","k","ire","inve","-","inveisce","inveiSSe","inveiSS","-","inveiamo","inveiamo","inve","-","inveisca","inveiska","inveisk","k",1,0
"327","invelenire","invelenisco","invelenisko","invelenisk","invelen","k","ire","invelen","-","invelenisce","inveleniSSe","inveleniSS","-","inveleniamo","inveleniamo","invelen","-","invelenisca","inveleniska","invelenisk","k",1,0
"328","inverdire","inverdisco","inverdisko","inverdisk","inverd","k","ire","inverd","-","inverdisce","inverdiSSe","inverdiSS","-","inverdiamo","inverdiamo","inverd","-","inverdisca","inverdiska","inverdisk","k",1,0
"329","invertire","inverto","inverto","invert","invert","-","ire","invert","-","inverte","inverte","invert","-","invertiamo","invertiamo","invert","-","inverta","inverta","invert","-",0,1
"330","investire","investo","investo","invest","invest","-","ire","invest","-","investe","investe","invest","-","investiamo","investiamo","invest","-","investa","investa","invest","-",0,1
"331","invilire","invilisco","invilisko","invilisk","invil","k","ire","invil","-","invilisce","inviliSSe","inviliSS","-","inviliamo","inviliamo","invil","-","invilisca","inviliska","invilisk","k",1,0
"332","inviperire","inviperisco","inviperisko","inviperisk","inviper","k","ire","inviper","-","inviperisce","inviperiSSe","inviperiSS","-","inviperiamo","inviperiamo","inviper","-","inviperisca","inviperiska","inviperisk","k",1,0
"333","involgarire","involgarisco","involgarisko","involgarisk","involgar","k","ire","involgar","-","involgarisce","involgariSSe","involgariSS","-","involgariamo","involgariamo","involgar","-","involgarisca","involgariska","involgarisk","k",1,0
"334","irrancidire","irrancidisco","irrantSidisko","irrantSidisk","irrantSid","k","ire","irrantSid","-","irrancidisce","irrantSidiSSe","irrantSidiSS","-","irrancidiamo","irrantSidiamo","irrantSid","-","irrancidisca","irrantSidiska","irrantSidisk","k",1,0
"335","irretire","irretisco","irretisko","irretisk","irret","k","ire","irret","-","irretisce","irretiSSe","irretiSS","-","irretiamo","irretiamo","irret","-","irretisca","irretiska","irretisk","k",1,0
"336","irridire","irrido","irrido","irrid","irrid","-","ire","irrid","-","irride","irride","irrid","-","irridiamo","irridiamo","irrid","-","irrida","irrida","irrid","-",0,1
"337","irrigidire","irrigidisco","irridGidisko","irridGidisk","irridGid","k","ire","irridGid","-","irrigidisce","irridGidiSSe","irridGidiSS","-","irrigidiamo","irridGidiamo","irridGid","-","irrigidisca","irridGidiska","irridGidisk","k",1,0
"338","irrobustire","irrobustisco","irrobustisko","irrobustisk","irrobust","k","ire","irrobust","-","irrobustisce","irrobustiSSe","irrobustiSS","-","irrobustiamo","irrobustiamo","irrobust","-","irrobustisca","irrobustiska","irrobustisk","k",1,0
"339","irruvidire","irruvidisco","irruvidisko","irruvidisk","irruvid","k","ire","irruvid","-","irruvidisce","irruvidiSSe","irruvidiSS","-","irruvidiamo","irruvidiamo","irruvid","-","irruvidisca","irruvidiska","irruvidisk","k",1,0
"340","ischeletrire","ischeletrisco","iskeletrisko","iskeletrisk","iskeletr","k","ire","iskeletr","-","ischeletrisce","iskeletriSSe","iskeletriSS","-","ischeletriamo","iskeletriamo","iskeletr","-","ischeletrisca","iskeletriska","iskeletrisk","k",1,0
"341","ispessire","ispessisco","ispessisko","ispessisk","ispess","k","ire","ispess","-","ispessisce","ispessiSSe","ispessiSS","-","ispessiamo","ispessiamo","ispess","-","ispessisca","ispessiska","ispessisk","k",1,0
"342","isterilire","isterilisco","isterilisko","isterilisk","isteril","k","ire","isteril","-","isterilisce","isteriliSSe","isteriliSS","-","isteriliamo","isteriliamo","isteril","-","isterilisca","isteriliska","isterilisk","k",1,0
"343","istituire","istituisco","istituisko","istituisk","istitu","k","ire","istitu","-","istituisce","istituiSSe","istituiSS","-","istituiamo","istituiamo","istitu","-","istituisca","istituiska","istituisk","k",1,0
"344","istruire","istruisco","istruisko","istruisk","istru","k","ire","istru","-","istruisce","istruiSSe","istruiSS","-","istruiamo","istruiamo","istru","-","istruisca","istruiska","istruisk","k",1,0
"345","istupidire","istupidisco","istupidisko","istupidisk","istupid","k","ire","istupid","-","istupidisce","istupidiSSe","istupidiSS","-","istupidiamo","istupidiamo","istupid","-","istupidisca","istupidiska","istupidisk","k",1,0
"346","lambire","lambisco","lambisko","lambisk","lamb","k","ire","lamb","-","lambisce","lambiSSe","lambiSS","-","lambiamo","lambiamo","lamb","-","lambisca","lambiska","lambisk","k",1,0
"347","languire","languisco","languisko","languisk","langu","k","ire","langu","-","languisce","languiSSe","languiSS","-","languiamo","languiamo","langu","-","languisca","languiska","languisk","k",1,0
"348","largire","largisco","lardGisko","lardGisk","lardG","k","ire","lardG","dG","largisce","lardGiSSe","lardGiSS","-","largiamo","lardGamo","lardG","dG","largisca","lardGiska","lardGisk","k",1,0
"349","lenire","lenisco","lenisko","lenisk","len","k","ire","len","-","lenisce","leniSSe","leniSS","-","leniamo","leniamo","len","-","lenisca","leniska","lenisk","k",1,0
"350","maledire","maledico","malediko","maledik","maledik","k","ire","maled","-","maledice","maleditSe","maleditS","tS","malediciamo","maleditSamo","maled","-","maledica","maledika","maledik","k",1,0
"351","marcire","marcisco","martSisko","martSisk","martS","k","ire","martS","tS","marcisce","martSiSSe","martSiSS","-","marciamo","martSamo","martS","tS","marcisca","martSiska","martSisk","k",1,0
"352","mentire","mento","mento","ment","ment","-","ire","ment","-","mente","mente","ment","-","mentiamo","mentiamo","ment","-","menta","menta","ment","-",0,1
"353","morire","muoio","muoio","muoi","muoi","-","ire","mor","-","muore","muore","muor","-","moriamo","moriamo","mor","-","muoia","muoia","muoi","-",1,0
"354","muffire","muffisco","muffisko","muffisk","muff","k","ire","muff","-","muffisce","muffiSSe","muffiSS","-","muffiamo","muffiamo","muff","-","muffisca","muffiska","muffisk","k",1,0
"355","muggire","muggisco","muddGisko","muddGisk","muddG","k","ire","muddG","dG","muggisce","muddGiSSe","muddGiSS","-","muggiamo","muddGamo","muddG","dG","muggisca","muddGiska","muddGisk","k",1,0
"356","munire","munisco","munisko","munisk","mun","k","ire","mun","-","munisce","muniSSe","muniSS","-","muniamo","muniamo","mun","-","munisca","muniska","munisk","k",1,0
"357","nitrire","nitrisco","nitrisko","nitrisk","nitr","k","ire","nitr","-","nitrisce","nitriSSe","nitriSS","-","nitriamo","nitriamo","nitr","-","nitrisca","nitriska","nitrisk","k",1,0
"358","nutrire","nutro","nutro","nutr","nutr","-","ire","nutr","-","nutre","nutre","nutr","-","nutriamo","nutriamo","nutr","-","nutra","nutra","nutr","-",0,1
"359","obbedire","obbedisco","obbedisko","obbedisk","obbed","k","ire","obbed","-","obbedisce","obbediSSe","obbediSS","-","obbediamo","obbediamo","obbed","-","obbedisca","obbediska","obbedisk","k",1,0
"360","offrire","offro","offro","offr","offr","-","ire","offr","-","offre","offre","offr","-","offriamo","offriamo","offr","-","offra","offra","offr","-",0,1
"361","ordire","ordisco","ordisko","ordisk","ord","k","ire","ord","-","ordisce","ordiSSe","ordiSS","-","ordiamo","ordiamo","ord","-","ordisca","ordiska","ordisk","k",1,0
"362","ostruire","ostruisco","ostruisko","ostruisk","ostru","k","ire","ostru","-","ostruisce","ostruiSSe","ostruiSS","-","ostruiamo","ostruiamo","ostru","-","ostruisca","ostruiska","ostruisk","k",1,0
"363","partire","parto","parto","part","part","-","ire","part","-","parte","parte","part","-","partiamo","partiamo","part","-","parta","parta","part","-",0,1
"364","partorire","partorisco","partorisko","partorisk","partor","k","ire","partor","-","partorisce","partoriSSe","partoriSS","-","partoriamo","partoriamo","partor","-","partorisca","partoriska","partorisk","k",1,0
"365","patire","patisco","patisko","patisk","pat","k","ire","pat","-","patisce","patiSSe","patiSS","-","patiamo","patiamo","pat","-","patisca","patiska","patisk","k",1,0
"366","pattuire","pattuisco","pattuisko","pattuisk","pattu","k","ire","pattu","-","pattuisce","pattuiSSe","pattuiSS","-","pattuiamo","pattuiamo","pattu","-","pattuisca","pattuiska","pattuisk","k",1,0
"367","pentire","pento","pento","pent","pent","-","ire","pent","-","pente","pente","pent","-","pentiamo","pentiamo","pent","-","penta","penta","pent","-",0,1
"368","percepire","percepisco","pertSepisko","pertSepisk","pertSep","k","ire","pertSep","-","percepisce","pertSepiSSe","pertSepiSS","-","percepiamo","pertSepiamo","pertSep","-","percepisca","pertSepiska","pertSepisk","k",1,0
"369","perire","perisco","perisko","perisk","per","k","ire","per","-","perisce","periSSe","periSS","-","periamo","periamo","per","-","perisca","periska","perisk","k",1,0
"370","perquisire","perquisisco","perquisisko","perquisisk","perquis","k","ire","perquis","-","perquisisce","perquisiSSe","perquisiSS","-","perquisiamo","perquisiamo","perquis","-","perquisisca","perquisiska","perquisisk","k",1,0
"371","perseguire","perseguo","perseguo","persegu","persegu","-","ire","persegu","-","persegue","persegue","persegu","-","perseguiamo","perseguiamo","persegu","-","persegua","persegua","persegu","-",0,1
"372","pervenire","pervengo","pervengo","perveng","perveng","ng","ire","perven","-","perviene","perviene","pervien","-","perveniamo","perveniamo","perven","-","pervenga","pervenga","perveng","ng",1,0
"373","pervertire","perverto","perverto","pervert","pervert","-","ire","pervert","-","perverte","perverte","pervert","-","pervertiamo","pervertiamo","pervert","-","perverta","perverta","pervert","-",0,1
"374","plaudire","plaudo","plaudo","plaud","plaud","-","ire","plaud","-","plaude","plaude","plaud","-","plaudiamo","plaudiamo","plaud","-","plauda","plauda","plaud","-",0,1
"375","polire","polisco","polisko","polisk","pol","k","ire","pol","-","polisce","poliSSe","poliSS","-","poliamo","poliamo","pol","-","polisca","poliska","polisk","k",1,0
"376","poltrire","poltro","poltro","poltr","poltr","-","ire","poltr","-","poltre","poltre","poltr","-","poltriamo","poltriamo","poltr","-","poltra","poltra","poltr","-",0,1
"377","preavvertire","preavverto","preavverto","preavvert","preavvert","-","ire","preavvert","-","preavverte","preavverte","preavvert","-","preavvertiamo","preavvertiamo","preavvert","-","preavverta","preavverta","preavvert","-",0,1
"378","precostituire","precostituisco","prekostituisko","prekostituisk","prekostitu","k","ire","prekostitu","-","precostituisce","prekostituiSSe","prekostituiSS","-","precostituiamo","prekostituiamo","prekostitu","-","precostituisca","prekostituiska","prekostituisk","k",1,0
"379","predire","predico","prediko","predik","predik","k","ire","pred","-","predice","preditSe","preditS","tS","prediciamo","preditSamo","pred","-","predica","predika","predik","k",1,0
"380","preferire","preferisco","preferisko","preferisk","prefer","k","ire","prefer","-","preferisce","preferiSSe","preferiSS","-","preferiamo","preferiamo","prefer","-","preferisca","preferiska","preferisk","k",1,0
"381","premorire","premoro","premoro","premor","premor","-","ire","premor","-","premuore","premuore","premuor","-","premoriamo","premoriamo","premor","-","premuoia","premuoia","premuoi","-",0,1
"382","premorire","premoro","premoro","premor","premor","-","ire","premor","-","premuore","premuore","premuor","-","premoriamo","premoriamo","premor","-","premora","premora","premor","-",1,1
"383","premorire","premuoio","premuoio","premuoi","premuoi","-","ire","premor","-","premuore","premuore","premuor","-","premoriamo","premoriamo","premor","-","premuoia","premuoia","premuoi","-",1,0
"384","premorire","premuoio","premuoio","premuoi","premuoi","-","ire","premor","-","premuore","premuore","premuor","-","premoriamo","premoriamo","premor","-","premora","premora","premor","-",0,0
"385","premunire","premunisco","premunisko","premunisk","premun","k","ire","premun","-","premunisce","premuniSSe","premuniSS","-","premuniamo","premuniamo","premun","-","premunisca","premuniska","premunisk","k",1,0
"386","presagire","presagisco","presadGisko","presadGisk","presadG","k","ire","presadG","dG","presagisce","presadGiSSe","presadGiSS","-","presagiamo","presadGamo","presadG","dG","presagisca","presadGiska","presadGisk","k",1,0
"387","prestabilire","prestabilisco","prestabilisko","prestabilisk","prestabil","k","ire","prestabil","-","prestabilisce","prestabiliSSe","prestabiliSS","-","prestabiliamo","prestabiliamo","prestabil","-","prestabilisca","prestabiliska","prestabilisk","k",1,0
"388","prevenire","prevengo","prevengo","preveng","preveng","ng","ire","preven","-","previene","previene","previen","-","preveniamo","preveniamo","preven","-","prevenga","prevenga","preveng","ng",1,0
"389","proferire","proferisco","proferisko","proferisk","profer","k","ire","profer","-","proferisce","proferiSSe","proferiSS","-","proferiamo","proferiamo","profer","-","proferisca","proferiska","proferisk","k",1,0
"390","profferire","profferisco","profferisko","profferisk","proffer","k","ire","proffer","-","profferisce","profferiSSe","profferiSS","-","profferiamo","profferiamo","proffer","-","profferisca","profferiska","profferisk","k",1,0
"391","progredire","progredisco","progredisko","progredisk","progred","k","ire","progred","-","progredisce","progrediSSe","progrediSS","-","progrediamo","progrediamo","progred","-","progredisca","progrediska","progredisk","k",1,0
