"","lemma_morphit","form_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf","fonroot_noinc_1ps_ind"
"513","scommettere","scommetto","skommetto","skommett","-","ere","skommett","-","scommette","skommette","skommett","-","scommettiamo","skommettiamo","skommett","-","scommetta","skommetta","skommett","-",0,1,"-"
"514","sconfiggere","sconfiggo","skonfiggo","skonfigg","g","ere","skonfiddG","dG","sconfigge","skonfiddGe","skonfiddG","dG","sconfiggiamo","skonfiddGamo","skonfiddG","dG","sconfigga","skonfigga","skonfigg","g",1,0,"-"
"515","sconnettere","sconnetto","skonnetto","skonnett","-","ere","skonnett","-","sconnette","skonnette","skonnett","-","sconnettiamo","skonnettiamo","skonnett","-","sconnetta","skonnetta","skonnett","-",0,1,"-"
"516","sconoscere","sconosco","skonosko","skonosk","k","ere","skonoSS","-","sconosce","skonoSSe","skonoSS","-","sconosciamo","skonoSSamo","skonoSS","-","sconosca","skonoska","skonosk","k",1,0,"-"
"517","sconvolgere","sconvolgo","skonvolgo","skonvolg","lg","ere","skonvoldG","dG","sconvolge","skonvoldGe","skonvoldG","dG","sconvolgiamo","skonvoldGamo","skonvoldG","dG","sconvolga","skonvolga","skonvolg","lg",1,0,"-"
"518","scorgere","scorgo","skorgo","skorg","g","ere","skordG","dG","scorge","skordGe","skordG","dG","scorgiamo","skordGamo","skordG","dG","scorga","skorga","skorg","g",1,0,"-"
"519","scorrere","scorro","skorro","skorr","-","ere","skorr","-","scorre","skorre","skorr","-","scorriamo","skorriamo","skorr","-","scorra","skorra","skorr","-",0,1,"-"
"520","scoscendere","scoscendo","skoSSendo","skoSSend","-","ere","skoSSend","-","scoscende","skoSSende","skoSSend","-","scoscendiamo","skoSSendiamo","skoSSend","-","scoscenda","skoSSenda","skoSSend","-",0,1,"-"
"521","scrivere","scrivo","skrivo","skriv","-","ere","skriv","-","scrive","skrive","skriv","-","scriviamo","skriviamo","skriv","-","scriva","skriva","skriv","-",0,1,"-"
"522","scuocere","scuocio","skuotSo","skuotS","tS","ere","skuotS","tS","scuoce","skuotSe","skuotS","tS","scuociamo","skuotSamo","skuotS","tS","scuocia","skuotSa","skuotS","tS",0,1,"-"
"523","scuotere","scuoto","skuoto","skuot","-","ere","skuot","-","scuote","skuote","skuot","-","scotiamo","skotiamo","","-","scuota","skuota","skuot","-",0,1,"-"
"524","scuotere","scuoto","skuoto","skuot","-","ere","skuot","-","scuote","skuote","skuot","-","scuotiamo","skuotiamo","skuot","-","scuota","skuota","skuot","-",0,1,"-"
"525","secernere","secerno","setSerno","setSern","-","ere","setSern","-","secerne","setSerne","setSern","-","secerniamo","setSerniamo","setSern","-","secerna","setSerna","setSern","-",0,1,"-"
"526","sedere","seggo","seggo","segg","g","ere","sed","-","siede","siede","sied","-","sediamo","sediamo","sed","-","sieda","sieda","sied","-",0,0,"-"
"527","sedere","seggo","seggo","segg","g","ere","sed","-","siede","siede","sied","-","siediamo","siediamo","","-","sieda","sieda","sied","-",0,0,"-"
